<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"Pragyachakshu Vidyalaya",School,Vidyanagar,Bhavnagar,Gujarat,364001,0278-2423917,,kkb@nabbhavnagar.com,,"Type of School: - - Admission Time: - - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, talking book library, print books, sports, cultural activities, career counseling, hostels/residential services, readers, writers and proof readers.",,
"R.N.C. FREE EYE HOSPITAL &amp; EYE BANK","Eye Bank","DR. PARAGJI DESAI ROAD OPP-MAMLATDAR OFFICE ",Valsad,Gujarat,396001,"2632-244263, 254886",,rnceye@rediffmail.com,,,,
"Rashtriya Virjanand Andh Kanya Mahavidhyalaya",,"Vadodara, Gujarat",Vadodara,Gujarat,,"9016728063 / 7984929957",,,,,,
"RED CROSS BHAWAN","Eye Bank","DIWANPARA ROAD ",BHAVNAGAR,Gujarat,364001,792424761,,,,,,
"RETINA FOUNDATION","Eye Bank","NEAR SHAHIBAUG, UNDER BRIDGE RAJBHAVAN ROAD SHAHIBAUG",Ahmedabad,Gujarat,380004,"079- 22865537, 22867982, 22866381",,"manishad1@sancharnet.in, ashish@drnagpal.com",,,,
"Rotary Eye Institute (REI), Navsari","Eye Hospital","Surat, Gujarat",Surat,Gujarat,,,,,,"Cataract, retina, cornea, glaucoma, low vision, neuro-ophthalmology",,
"Rotary Eye Institute Sant Punit Eye Bank","Eye Bank","Rotary Eye Institute, Dudhia Talav, Opp Fire Station",Navsari,Gujarat,396445,02637-258920,9375131031,rotaryeye@sify.com,www.rotaryeye.org,"'- Eye bank and medical certifications.",,
"ROTARY EYE SANT PUNIT EYE BANK","Eye Bank","Rotary Eye Institute, Dudhia Talao",Navsari,Gujarat,396445,,7069006329,admin@rotaryeye.org,,,,
"S.S.G. HOSPITAL EYE BANK","Eye Bank","Ward-E-1/2, Deptt. Of Ophthalmology Surgical Building, 4th Floor, SSG Hospital",Vadodara,Gujarat,390001,28123133393,,"drgsg@indiatimes.com, drkns@indiatimes.com",,,,
"Sadbhavna Rural Development Trust",School,"132 FT Ring Road. Vastrapur",Ahmedabad,Gujarat,380015,079-26304070,,,,"Type of School: Elementary Co.Ed. School - Admission Time: - - Fee Structure: - - Other Facilities in the School: Apart from School, centre is providing services such as Braille appliances, sports, cultural activities, low vision aids, low vision centre, career counseling, counseling for late blind persons, placement cell, self employment, hostels/residential services, readers, writers, proof readers, narrators of talking books and vocational training.",,
"SAMEEP EYE HOSPITAL &amp; CORNEAL CENTRE","Eye Bank","First Floor, Chaturbhai Park, Opp. Rajdhani Society, Harni-Warasia Ring Road",Vadodara,Gujarat,390006,0265-2564436,"0265- 2571545",parasmehta93@gmail.com,https://drparasmehta.com/about.html,,,
"Sameep Eye Hospital &amp; Corneal Centre","Eye Bank","Chaturbhai Park, 1st Floor, Opp. Rajdhani Society, Harni Varasia Ring Road, Harni Road",Vadodara,Gujarat,390006,0265-2564436,,parasmehta93@gmail.com,www.pbfcfc.gov.in,"'- Eye hospital and medical certifications",,
"School for the Blind",School,"Opp. Times of India, Deaf-Mute School Compound, Ashram Road",Ahmedabad,Gujarat,380014,079-26579947,9825160254,deaf-muteschool08@yahoo.com,,"Type of School: Senior Secondary Co.Ed. Residential school from Pre School/ Nursery to Class XII  - Admission Time: June to August - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as Braille press, counseling, Braille library, talking book library, print books, Braille appliances, sports, cultural activities and vocational training.",,
"Sense International India",NGO,"Ahmedabad, India",Ahmedabad,Gujarat,,,,,,"Dual sensory (deafblind) support, training, education",,
"Service Association for the Blind",School,"Plot No 156, Behind Main Shopping Center And Garden, Sector No 16",Gandhinagar,Gujarat,382016,079-23238611,9898704629,blindschoolenr@gmail.com,www.schoolfarblind.org,"Type of School: Secondary Co.Ed. Residential school from Pre School/Nursery to Class X - Admission Time: June to August - Fee Structure: - - Other Facilities in the School: Braille library, print books, sports and cultural activities. - Apart from School, association also provides community based rehabilitation services, hostels/residential services, readers, writers, narrators of talking books and vocational training.",,
"SHETH M.L. VADUWALA (S) EYE HSOPITAL","Eye Bank","HARIBHAKTI COMPLEX, VINOBA BHAVE RD. SALATWADA ",Vadodara,Gujarat,390001,"265-2410932, 2426311",,tvpeyeinstitute@yahoo.com,,,,
"SHIVANANDA MISSION SAURASHTRA CENTRAL HOSPITAL","Eye Bank",VIRNAGAR,Rajkot,Gujarat,360060,"2821-283731, 283729, 283726",,info@shivanandamission.org,,,,
"Shree Andhjan Vividhlaxi Talim Kendra",School,"Aerodrome Road",Jamnagar,Gujarat,361006,0288-2712348,9427943710,pjmankodi@yahoo.co.in,www.avtkjamnagar.org,"Type of School: Upper Primary residential school for the boys from Class I to VIII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing G services such as Braille library, sports, cultural activities, consultancy for setting up vocational training program and vocational training.",,
"Shree Hari Sewa Trust",,"D-54, Anaknathpuram, Opp. Laal Baag, Marimata No Khancho Ln, Mandvi",Vadodara,Gujarat,390001,"094266 45400",,,,"'- Association is providing services like community based rehabilitation services, counseling for late blind persons, Braille library, loans, volunteers, readers, writers, narrators of talking books, sports and cultural activities.",,
"Shree Jalaram Seva Trust",School,"GJ SH 8, Dharmaj, Ta. Petlad",Anand,Gujarat,388150,02697-245460,9825472915,shreejalaramtrust@rediffmail.com,www.jalaramtrust.com,"Type of School: Secondary Co.Ed. School from Class IX to X - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as Braille library, talking book library, large print library, print books, Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, career counseling, counseling for late blind persons and vocational training.",,
"Shree Navchetan Andhjan Mandal",,"Palanpur, Gujarat",Palanpur,Gujarat,,02692‑255078,,,,"Residential schooling, life skills",,
"Shri K.K. School &amp; Home for the Blind",School,"PNR Society for Relief and Rehabilitation of the Dis, #51, Opp. New Filter, Vidhyanagar",Bhavnagar,Gujarat,364002,0278-2423917,9376688584,kkblindschool@rediffmail.com,kkblindschoolbhavnagar.org,"Type of School: - - Admission Time: - - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille press, Braille library, talking book library, print books, Braille appliances, sports, cultural activities, low vision aids, consultancy for setting up vocational training program, Hostels/Residential Services.",,
"Shri Krishna Kumar Sinhji Udyog Shala Trust","Vocational Training","Near New Filter, Vidyanagar",Bhavnagar,Gujarat,364002,0278-2423917,,,,"'- Centre is providing vocational training like computer, mechanic, luhaar, etc. - Centre also provides services such as Braille press, low vision aids, career counseling, counseling for late blind persons, employment services, hostels/ residential services. - Braille library, talking book library, print books, loans, volunteers, readers, writers, proof readers, narrators of talking books, scanning and editing of books, Braille appliances, sports &amp; cultural activities, etc.",,
"Shri Navchetan Andhjan Mandal",School,"P.O 12, Opp. Kachchh Dairy Madhpur-Bhujodi Highway, Madhapar ",Bhuj,Gujarat,370020,9825226598,,info@navchetan.org,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as Braille press, Braille library, talking book library, large print library, print books, Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, consultancy for designing ICT labs, consultancy for barrier free building design/setting up vocational training  program/setting up Braille press/setting up science labs/setting up income generation activities, website accessibility, career counseling, counseling for late blind persons, placement cell, provision of machinery &amp; equipment, group placement, hostels/residential services, readers, writers, narrators of talking books, publication services and vocational training.",,
"Shri Pragya Chakshu Seva Kunj",School,"Near. Lok Vidyalya, Opp. Jalaram Petrol Pump, Behind Dada Bhagavan Temple, Muli Road ",Surendranagar,Gujarat,363020,02752-293100,"70966 09915",vsgct@yahoo.co.in,,"Type of School: Senior Secondary residential school for the girls from Pre School/Nursery to Class XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, print books, sports, cultural activities, career counseling, placement cell, scanning &amp; editing of books, etc.",,
"Shri Vadilal S. Gandhi Charitable Trust",School,"Neminathjini Wadi, V.S. Gandhi Circle, Antisar Darwaza Kapadwanj",kheda,Gujarat,387620,02691-263296,9825459600,vsgct@yahoo.co.in,,"Type of School: Senior Secondary Co.Ed. School from Class IX to XII - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as sports, community based rehabilitation services, consultancy for setting up vocational training program, career counseling, counseling for G late blind persons, readers, writers and vocational training.",,
"Shrimati M.B. Jain Vidhyalaya",School,"#4363, Borvani Road, PO. Box no. 37, Chhapari, Hanuman Bazar",Dahod,Gujarat,389151,02673-250013,,,,"Type of School: Senior Secondary residential school for the boys from Pre School/Nursery to Class XII - Admission Time: June to July - Fee Structure: - - Other Facilities in the School: School is providing services such as Braille library, sports, cultural activities, career counseling, counseling for late blind persons, hostels/residential services, readers, writers, etc.",,
"Shrimati M.K. Mehta Pragyachakshu Vidyalya",School,"Dairy Road,Opp. Shashivan, Mamta Mandir, Palanpur",banaskantha,Gujarat,385001,02742-252586,9427036855,mamtamandir@vidyamandir.org,,"Type of School: Secondary Co.Ed. Residential school from Class I to X - Admission Time: June - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as Braille library, large print library, print books, Braille appliances, sports, cultural activities, low vision aids, consultancy for barrier free building design/setting up low vision clinic/setting up income generation activities,",,
"SIR TAKHTASINHJI EYE BANK","Eye Bank","Jail Rd, Kalanala, Devbagh",Bhavnagar,Gujarat,364002,"92653 084909",,,,,,
"SMT. LILAVATIBEN MOHANLAL SHAH (BILIMORA) EYE HOSPITAL","Eye Bank","DUDHIA TALAV ",Navsari,Gujarat,396445,"02637 258920; 258931",,rotaryeye@sify.com,,,,
"Smt. Shradaben Shah Eye Bank","Eye Bank","Run by Rotary Club of Patan, Rotary Bhawan, Khetarvasi",Patan,Gujarat,384265,02766-230719,,,,"'- Eye bank and medical certifications.",,
"Sopan School for Children",School,"No. F/P/107, Pink City Flat, Blind Welfare Fund Centre, Ranip",Ahmedabad,Gujarat,380080,079-27520743,9824430597,,,"Type of School: Elementary Co.Ed. School - Admission Time: - - Fee Structure: - - Other Facilities in the School: School is providing services such as sports and cultural activities, community based rehabilitation services, career counseling, G proof readers, etc.",,
"SURAT MUNICIPAL INSTITUTE OF MEDICAL EDUCATION AND RESEARCH","Eye Bank","Opp- Bombay Market Umarwada",surat,Gujarat,395010,"261-2368030, 2368040",,,,,,
"The Baroda Association for the Blind","Vocational Training","Near JEB Sub Station, Opp. Jalaram Temple, Subhanpura",Vadodara,Gujarat,390023,9428881113,,vhoidipak41188@gmail.com,,"'- Association is providing vocational training like sweep making, candle making, doormats making, paper dish making, canning work, etc. to male trainees. - Association also provides career counseling, self employment, eye clinics and medical certifications, sports &amp; cultural activities, etc.",,
"The Gujarat Women Economics Development","Government Department","Block 8, 9th Floor, Udyog Bhavan, Sector 11 ",Gandhinagar,Gujarat,382001,"79 2323 0713",,md_gwedc@yahoo.com,,"'- Government department is providing community based rehabilitation service, consultancy for setting up vocational training program/setting up income generation activities, placement cell, self employment, provision of machinery &amp; equipment and loans.",,
"V-One Society","vocational training","Bhumija Complex, Fatehgunj Main Rd, Near Mu. Shala No.6, opposite Lane Of lal Church, Behind Rangoli Hotel, Jayesh Colony, Fatehgunj",Vadodara,Gujarat,390002,0265-2791621,9824251850,vone_society@yahoo.com,www.vonesociety.org,"'- Association is providing community based rehabilitation services, consultancy for setting up vocational training program, loans, volunteers, Braille appliances, publication services, sports &amp; cultural activities, etc.",,
"VG SAPOVADIA EYE BANK","Eye Bank","150 feet ring road, Near Ayodhya Chowk, beside The One World",Rajkot,Gujarat,360006,"94272 23626","080061 87000",info@maxivision.in,,,,
"VRC for Handicapped","Vocational Training","ITI Campus, Kuber Nagar",Ahmedabad,Gujarat,382340,079-22811629,7912140519,vrcahmd@hub.nic.in,,"'- Centre is providing support for consultancy for setting up vocational training programs, career counseling, placement cell, self employment and training for employment.",,
"VRC for Handicapped (Women)","Vocational Training","Opp Blind school building, After Care Hostel Building, Pensionpura",Vadodara,Gujarat,390002,0265-2782857,9913717126,vrcatw@rediffmail.com,,"'- Centre is providing career counseling, placement cell, self employment and training for employment.",,
"Blind People’s Association (BPA)",NGO,"BPA Campus, Near Income Tax Office, Ashram Road, Ahmedabad",Ahmedabad,Gujarat,380009,079-26586162,079-26586163,bpa@blindpeople.org,www.blindpeople.org,"Rehabilitation, education, vocational training, community-based services",,
